Song Name,Artist,Tempo,Key,Timbre
Buddy Holly,Weezer,121,A Flat Major,Upbeat
The Kids aren't alright,The Offspring,100,C Sharp Major,Energetic
Can't kick up the roots,Neck Deep,113,A Flat Major,Dynamic
Empty Space,The Story So Far,105,B Flat Minor,Soothing
Shed,Title Fight,145,A Major,Raw
Bukowski,Moose Blood,162,C Sharp Minor,Melancholic
Dammit,Blink-182,111,C Major,Edgy
Your Graduation,Modern Baseball,185,A Flat Minor,Reflective
Gravity,Turnstile,96,C Major,Mellow
Reminders,Touche Amore,98,A Sharp Major,Empowering
Moonlight Sonata,Beethoven,90,C Minor,Calm
Canon in D,Pachelbel,80,D Major,Soothing
Symphony No. 5,Beethoven,120,G Minor,Dramatic
Für Elise,Beethoven,110,A Minor,Graceful
Clair de Lune,Debussy,95,D Flat Major,Romantic
The Four Seasons,Vivaldi,100,G Major,Energetic
Piano Sonata No. 14,Beethoven,85,C Sharp Minor,Melancholic
Ave Maria,Schubert,75,F Major,Sacred
Symphony No. 9,Beethoven,130,D Minor,Powerful
Gymnopédie No. 1,Satie,70,E Flat Major,Ethereal
Jolene,Dolly Parton,115,G Major,Heartfelt
Take Me Home Country Roads,John Denver,105,A Major,Upbeat
Tennessee Whiskey,Chris Stapleton,125,B Flat Major,Soulful
Ring of Fire,Johnny Cash,100,C Major,Energetic
Friends in Low Places,Garth Brooks,95,E Major,Lively
Blue Ain't Your Color,Keith Urban,110,F Sharp Minor,Bluesy
Chicken Fried,Zac Brown Band,120,D Major,Feel-Good
Die a Happy Man,Thomas Rhett,100,E Flat Major,Romantic
Wagon Wheel,Old Crow Medicine Show,115,A Major,Folksy
Before He Cheats,Carrie Underwood,105,G Minor,Fierce
